3#kai#kai2#yslee6/B  -0.262 1.536  -0.262 1.270  -0.262 1.004  -0.295 0.741  -0.309 0.477  -0.309 0.211  -0.356 -0.050  -0.356 -0.316  -0.356 -0.582  -0.356 -0.849  -0.356 -1.115  -0.368 -1.379  -0.403 -1.330  -0.403 -1.064  -0.396 -0.798  -0.386 -0.532  -0.375 -0.266  -0.365 0.000  -0.354 0.266  -0.343 0.532  -0.333 0.798  -0.322 1.064  -0.311 1.330  -0.214 1.560  0.035 1.631  0.297 1.602  0.477 1.417  0.597 1.180  0.635 0.920  0.610 0.658  0.526 0.405  0.420 0.161  0.244 -0.036  0.048 -0.215  -0.176 -0.357  -0.432 -0.399  -0.503 -0.340  -0.250 -0.272  0.012 -0.228  0.274 -0.179  0.539 -0.163  0.798 -0.218  0.981 -0.382  1.011 -0.641  0.898 -0.879  0.690 -1.040  0.459 -1.172  0.214 -1.276  -0.043 -1.343  -0.309 -1.343
3#kai#kai2#yslee6/a  -0.137 1.083  -0.248 0.936  -0.358 0.788  -0.461 0.636  -0.543 0.472  -0.625 0.307  -0.707 0.143  -0.790 -0.022  -0.838 -0.195  -0.838 -0.379  -0.838 -0.563  -0.838 -0.747  -0.838 -0.931  -0.838 -1.115  -0.712 -1.246  -0.582 -1.377  -0.416 -1.421  -0.234 -1.417  -0.124 -1.270  -0.014 -1.122  0.077 -0.966  0.121 -0.787  0.163 -0.608  0.163 -0.424  0.163 -0.240  0.171 -0.057  0.194 0.126  0.217 0.309  0.239 0.491  0.262 0.674  0.263 0.858  0.263 1.042  0.263 1.226  0.223 1.403  0.165 1.578  0.163 1.406  0.178 1.224  0.223 1.045  0.267 0.866  0.312 0.688  0.357 0.509  0.450 0.352  0.552 0.199  0.615 0.027  0.673 -0.147  0.732 -0.322  0.790 -0.497  0.848 -0.671  0.906 -0.846  0.964 -1.020
3#kai#kai2#yslee6/s  0.222 1.567  0.156 1.518  0.090 1.468  0.024 1.418  -0.043 1.369  -0.109 1.319  -0.163 1.257  -0.215 1.192  -0.266 1.128  -0.318 1.063  -0.370 0.999  -0.422 0.934  -0.463 0.866  -0.463 0.783  -0.463 0.701  -0.463 0.618  -0.463 0.535  -0.463 0.452  -0.463 0.370  -0.444 0.289  -0.424 0.209  -0.404 0.129  -0.384 0.048  -0.337 -0.017  -0.278 -0.075  -0.220 -0.134  -0.161 -0.192  -0.099 -0.247  -0.031 -0.293  0.038 -0.338  0.107 -0.384  0.174 -0.432  0.241 -0.482  0.307 -0.532  0.373 -0.581  0.439 -0.631  0.490 -0.692  0.516 -0.770  0.542 -0.849  0.565 -0.928  0.565 -1.011  0.565 -1.093  0.564 -1.176  0.495 -1.222  0.427 -1.268  0.358 -1.313  0.286 -1.354  0.208 -1.380  0.129 -1.406  0.051 -1.432
3#kai#kai2#yslee6/\@  1.698 0.000  1.628 0.000  1.559 0.000  1.490 0.000  1.421 0.000  1.351 0.000  1.282 0.000  1.213 0.000  1.143 0.000  1.074 0.000  1.005 0.000  0.935 0.000  0.866 0.000  0.797 0.000  0.728 0.000  0.658 0.000  0.589 0.000  0.520 0.000  0.450 0.000  0.381 0.000  0.312 0.000  0.243 0.000  0.173 0.000  0.104 0.000  0.035 0.000  -0.035 0.000  -0.104 0.000  -0.173 0.000  -0.243 0.000  -0.312 0.000  -0.381 0.000  -0.450 0.000  -0.520 0.000  -0.589 0.000  -0.658 0.000  -0.728 0.000  -0.797 0.000  -0.866 0.000  -0.935 0.000  -1.005 0.000  -1.074 0.000  -1.143 0.000  -1.213 0.000  -1.282 0.000  -1.351 0.000  -1.421 0.000  -1.490 0.000  -1.559 0.000  -1.628 0.000  -1.698 0.000
3#kai#kai2#yslee6/X  1.059 1.872  0.909 1.830  0.834 1.671  0.769 1.507  0.691 1.350  0.615 1.191  0.549 1.027  0.472 0.869  0.393 0.711  0.317 0.553  0.251 0.389  0.186 0.226  0.107 0.069  0.016 -0.082  -0.074 -0.233  -0.157 -0.389  -0.252 -0.537  -0.348 -0.684  -0.431 -0.838  -0.513 -0.993  -0.594 -1.147  -0.692 -1.294  -0.743 -1.461  -0.682 -1.353  -0.613 -1.192  -0.582 -1.019  -0.551 -0.845  -0.520 -0.672  -0.489 -0.499  -0.457 -0.325  -0.426 -0.152  -0.395 0.021  -0.364 0.195  -0.333 0.368  -0.301 0.542  -0.270 0.715  -0.239 0.888  -0.188 0.792  -0.127 0.627  -0.054 0.468  -0.006 0.299  0.071 0.140  0.115 -0.030  0.185 -0.192  0.259 -0.351  0.344 -0.504  0.418 -0.663  0.511 -0.813  0.616 -0.954  0.715 -1.099
3#kai#kai2#yslee6/t  -0.496 0.657  -0.377 0.657  -0.259 0.657  -0.141 0.657  -0.023 0.657  0.095 0.657  0.211 0.641  0.323 0.604  0.429 0.554  0.527 0.488  0.604 0.411  0.558 0.419  0.482 0.509  0.407 0.600  0.331 0.691  0.255 0.782  0.180 0.873  0.104 0.963  0.028 1.054  -0.047 1.145  -0.123 1.236  -0.129 1.135  -0.129 1.017  -0.129 0.899  -0.129 0.780  -0.129 0.662  -0.129 0.544  -0.129 0.426  -0.129 0.308  -0.129 0.190  -0.129 0.071  -0.129 -0.047  -0.129 -0.165  -0.129 -0.283  -0.129 -0.401  -0.129 -0.519  -0.129 -0.638  -0.129 -0.756  -0.129 -0.874  -0.129 -0.992  -0.129 -1.110  -0.129 -1.229  -0.129 -1.347  -0.129 -1.465  -0.129 -1.583  -0.090 -1.692  -0.038 -1.798  0.015 -1.903  0.053 -2.015  0.091 -2.127
3#kai#kai2#yslee6/r  -0.168 0.989  -0.168 0.858  -0.168 0.727  -0.168 0.596  -0.168 0.465  -0.168 0.334  -0.168 0.202  -0.168 0.071  -0.168 -0.060  -0.168 -0.191  -0.190 -0.320  -0.221 -0.447  -0.253 -0.574  -0.285 -0.701  -0.317 -0.829  -0.349 -0.956  -0.380 -1.083  -0.419 -1.208  -0.460 -1.333  -0.503 -1.452  -0.575 -1.343  -0.648 -1.233  -0.721 -1.124  -0.692 -0.998  -0.660 -0.870  -0.629 -0.743  -0.584 -0.621  -0.525 -0.503  -0.467 -0.386  -0.408 -0.269  -0.340 -0.157  -0.267 -0.048  -0.194 0.061  -0.109 0.160  -0.016 0.253  0.077 0.345  0.170 0.438  0.262 0.531  0.355 0.624  0.448 0.716  0.546 0.803  0.651 0.882  0.756 0.960  0.861 1.039  0.972 1.100  1.103 1.100  1.234 1.100  1.361 1.072  1.485 1.031  1.609 0.989
3#kai#kai2#yslee6/a  0.280 1.116  0.098 1.116  -0.068 1.069  -0.214 0.959  -0.352 0.841  -0.480 0.712  -0.602 0.577  -0.703 0.426  -0.804 0.274  -0.905 0.122  -1.005 -0.030  -1.072 -0.199  -1.140 -0.368  -1.145 -0.549  -1.129 -0.729  -1.085 -0.906  -0.960 -1.026  -0.798 -1.092  -0.616 -1.092  -0.433 -1.092  -0.270 -1.031  -0.128 -0.921  -0.027 -0.769  0.040 -0.601  0.111 -0.434  0.192 -0.271  0.209 -0.092  0.209 0.090  0.235 0.268  0.280 0.442  0.280 0.625  0.280 0.807  0.280 0.989  0.280 1.171  0.280 1.164  0.280 0.982  0.280 0.800  0.280 0.618  0.293 0.438  0.350 0.265  0.431 0.102  0.513 -0.061  0.594 -0.224  0.691 -0.377  0.805 -0.519  0.919 -0.661  1.090 -0.721  1.270 -0.736  1.452 -0.736  1.634 -0.736
3#kai#kai2#yslee6/\@  -1.586 -0.619  -1.519 -0.597  -1.453 -0.575  -1.387 -0.553  -1.320 -0.531  -1.254 -0.509  -1.187 -0.487  -1.121 -0.464  -1.055 -0.442  -0.988 -0.420  -0.922 -0.398  -0.856 -0.376  -0.789 -0.354  -0.723 -0.332  -0.657 -0.310  -0.590 -0.287  -0.524 -0.265  -0.458 -0.243  -0.391 -0.221  -0.325 -0.199  -0.259 -0.177  -0.192 -0.155  -0.126 -0.133  -0.067 -0.095  -0.009 -0.056  0.049 -0.017  0.107 0.022  0.166 0.061  0.224 0.099  0.282 0.138  0.340 0.177  0.398 0.216  0.457 0.255  0.515 0.293  0.573 0.332  0.635 0.363  0.703 0.380  0.771 0.397  0.838 0.414  0.906 0.431  0.974 0.448  1.042 0.464  1.110 0.481  1.178 0.498  1.246 0.515  1.313 0.532  1.381 0.549  1.449 0.566  1.517 0.583  1.585 0.600
3#kai#kai2#yslee6/Y  -1.215 1.527  -1.136 1.395  -1.056 1.263  -0.953 1.149  -0.844 1.040  -0.751 0.917  -0.663 0.791  -0.570 0.667  -0.478 0.544  -0.385 0.420  -0.292 0.297  -0.200 0.173  -0.148 0.031  -0.101 -0.115  -0.016 -0.243  0.039 -0.387  0.078 -0.343  0.157 -0.210  0.235 -0.077  0.314 0.056  0.392 0.189  0.471 0.322  0.549 0.455  0.628 0.588  0.706 0.720  0.785 0.853  0.716 0.831  0.595 0.737  0.485 0.627  0.376 0.518  0.264 0.413  0.135 0.328  0.023 0.223  -0.091 0.119  -0.219 0.034  -0.118 -0.052  -0.013 -0.161  0.066 -0.293  0.114 -0.439  0.114 -0.594  0.114 -0.748  0.115 -0.902  0.152 -1.052  0.172 -1.204  0.185 -1.357  0.222 -1.506  0.229 -1.660  0.244 -1.812  0.287 -1.959  0.287 -2.114
3#kai#kai2#yslee6/o  -0.326 0.847  -0.431 0.742  -0.536 0.637  -0.610 0.514  -0.657 0.374  -0.697 0.232  -0.733 0.088  -0.760 -0.057  -0.760 -0.204  -0.742 -0.350  -0.706 -0.494  -0.670 -0.637  -0.635 -0.781  -0.599 -0.924  -0.518 -1.042  -0.413 -1.147  -0.301 -1.233  -0.153 -1.233  -0.005 -1.233  0.143 -1.233  0.290 -1.230  0.431 -1.183  0.551 -1.116  0.597 -0.975  0.657 -0.841  0.739 -0.718  0.800 -0.589  0.800 -0.441  0.800 -0.293  0.800 -0.145  0.800 0.003  0.800 0.151  0.800 0.299  0.800 0.447  0.770 0.590  0.723 0.730  0.649 0.857  0.567 0.980  0.445 1.051  0.305 1.098  0.159 1.107  0.011 1.107  -0.137 1.107  -0.278 1.081  -0.401 0.999  -0.500 0.904  -0.500 0.756  -0.500 0.608  -0.460 0.467  -0.413 0.327
3#kai#kai2#yslee6/u  -0.930 1.220  -0.968 1.069  -1.005 0.918  -1.020 0.763  -1.020 0.607  -1.020 0.451  -1.020 0.295  -1.019 0.139  -0.981 -0.012  -0.943 -0.163  -0.905 -0.315  -0.867 -0.466  -0.826 -0.617  -0.777 -0.765  -0.690 -0.884  -0.560 -0.971  -0.420 -1.023  -0.264 -1.023  -0.165 -0.931  -0.096 -0.791  -0.028 -0.651  0.022 -0.503  0.068 -0.354  0.106 -0.202  0.144 -0.051  0.175 0.102  0.205 0.255  0.236 0.408  0.274 0.559  0.312 0.711  0.345 0.863  0.376 1.016  0.406 1.169  0.463 1.128  0.533 0.988  0.596 0.847  0.596 0.691  0.596 0.535  0.596 0.379  0.599 0.224  0.649 0.076  0.695 -0.073  0.733 -0.225  0.771 -0.376  0.851 -0.509  0.938 -0.638  0.955 -0.789  0.965 -0.940  1.094 -1.027  1.224 -1.113
3#kai#kai2#yslee6/Z  -0.554 1.284  -0.446 1.283  -0.341 1.257  -0.234 1.249  -0.126 1.249  -0.018 1.249  0.090 1.249  0.198 1.249  0.306 1.249  0.414 1.249  0.522 1.249  0.504 1.158  0.448 1.066  0.402 0.969  0.362 0.869  0.327 0.767  0.293 0.664  0.246 0.567  0.202 0.468  0.164 0.367  0.127 0.266  0.071 0.174  0.007 0.087  -0.042 -0.009  -0.101 -0.099  -0.168 -0.183  -0.232 -0.270  -0.292 -0.360  -0.350 -0.451  -0.399 -0.548  -0.437 -0.649  -0.475 -0.750  -0.515 -0.850  -0.563 -0.947  -0.605 -1.046  -0.598 -1.065  -0.530 -0.983  -0.438 -0.928  -0.330 -0.928  -0.222 -0.928  -0.115 -0.932  -0.009 -0.953  0.097 -0.977  0.202 -1.002  0.308 -1.023  0.413 -1.047  0.517 -1.075  0.621 -1.104  0.695 -1.094  0.605 -1.034
3#kai#kai2#yslee6/e  -0.884 0.308  -0.800 0.183  -0.716 0.057  -0.572 0.017  -0.426 -0.020  -0.277 -0.033  -0.126 -0.033  0.025 -0.033  0.176 -0.033  0.310 0.022  0.436 0.106  0.561 0.190  0.687 0.274  0.739 0.397  0.739 0.547  0.739 0.698  0.712 0.846  0.675 0.992  0.601 1.112  0.475 1.196  0.340 1.248  0.189 1.248  0.041 1.223  -0.105 1.186  -0.230 1.118  -0.313 0.993  -0.392 0.864  -0.459 0.729  -0.527 0.594  -0.565 0.449  -0.595 0.301  -0.624 0.153  -0.627 0.003  -0.627 -0.148  -0.625 -0.299  -0.588 -0.445  -0.552 -0.592  -0.476 -0.719  -0.385 -0.840  -0.295 -0.961  -0.172 -1.048  -0.047 -1.132  0.079 -1.216  0.204 -1.299  0.344 -1.354  0.488 -1.400  0.639 -1.400  0.788 -1.388  0.934 -1.351  1.081 -1.314
3#kai#kai2#yslee6/\@  -0.490 -1.631  -0.468 -1.564  -0.446 -1.498  -0.424 -1.431  -0.401 -1.365  -0.379 -1.298  -0.357 -1.231  -0.335 -1.165  -0.313 -1.098  -0.291 -1.032  -0.268 -0.965  -0.245 -0.899  -0.219 -0.834  -0.193 -0.769  -0.167 -0.704  -0.141 -0.639  -0.115 -0.573  -0.089 -0.508  -0.062 -0.443  -0.036 -0.378  -0.010 -0.313  0.016 -0.248  0.042 -0.183  0.068 -0.117  0.094 -0.052  0.120 0.013  0.146 0.078  0.172 0.143  0.198 0.208  0.219 0.274  0.219 0.345  0.219 0.415  0.219 0.485  0.219 0.555  0.219 0.625  0.219 0.695  0.219 0.766  0.219 0.836  0.219 0.906  0.219 0.976  0.219 1.046  0.219 1.116  0.219 1.187  0.219 1.257  0.219 1.327  0.219 1.397  0.219 1.467  0.219 1.537  0.219 1.607  0.219 1.678
3#kai#kai2#yslee6/r  -0.401 1.556  -0.367 1.422  -0.334 1.287  -0.300 1.152  -0.272 1.016  -0.244 0.880  -0.217 0.744  -0.190 0.607  -0.187 0.469  -0.187 0.330  -0.187 0.191  -0.186 0.052  -0.159 -0.084  -0.131 -0.220  -0.104 -0.357  -0.080 -0.493  -0.080 -0.632  -0.080 -0.771  -0.080 -0.910  -0.080 -1.049  -0.080 -1.188  -0.080 -1.327  -0.120 -1.459  -0.164 -1.591  -0.208 -1.593  -0.252 -1.461  -0.294 -1.329  -0.294 -1.190  -0.294 -1.051  -0.261 -0.918  -0.218 -0.786  -0.179 -0.653  -0.151 -0.517  -0.124 -0.380  -0.097 -0.244  -0.054 -0.114  0.015 0.007  0.084 0.128  0.152 0.248  0.221 0.369  0.290 0.490  0.356 0.612  0.399 0.744  0.443 0.875  0.526 0.983  0.624 1.082  0.722 1.180  0.835 1.254  0.967 1.298  1.099 1.342
3#kai#kai2#yslee6/o  -0.786 1.074  -0.722 0.978  -0.657 0.881  -0.641 0.776  -0.669 0.663  -0.698 0.550  -0.732 0.439  -0.769 0.329  -0.786 0.215  -0.786 0.099  -0.786 -0.017  -0.786 -0.133  -0.786 -0.250  -0.786 -0.366  -0.786 -0.482  -0.786 -0.598  -0.751 -0.709  -0.714 -0.819  -0.630 -0.893  -0.533 -0.958  -0.430 -1.002  -0.314 -1.002  -0.197 -1.002  -0.081 -1.002  0.033 -0.992  0.137 -0.940  0.241 -0.888  0.344 -0.834  0.440 -0.770  0.537 -0.705  0.613 -0.620  0.678 -0.523  0.737 -0.424  0.774 -0.314  0.811 -0.203  0.811 -0.087  0.811 0.029  0.811 0.145  0.811 0.262  0.811 0.378  0.811 0.494  0.788 0.608  0.760 0.720  0.731 0.833  0.680 0.937  0.628 1.041  0.576 1.145  0.496 1.229  0.414 1.311  0.332 1.394
3#kai#kai2#yslee6/\@  1.618 -0.516  1.553 -0.490  1.489 -0.464  1.424 -0.438  1.359 -0.412  1.294 -0.387  1.229 -0.361  1.165 -0.335  1.100 -0.309  1.035 -0.283  0.970 -0.257  0.905 -0.231  0.841 -0.205  0.776 -0.179  0.711 -0.153  0.646 -0.127  0.582 -0.101  0.517 -0.076  0.452 -0.050  0.387 -0.024  0.321 -0.002  0.253 0.015  0.186 0.032  0.118 0.049  0.050 0.066  -0.017 0.083  -0.085 0.100  -0.153 0.117  -0.221 0.133  -0.288 0.150  -0.356 0.167  -0.424 0.184  -0.491 0.201  -0.559 0.218  -0.627 0.235  -0.696 0.243  -0.765 0.243  -0.835 0.243  -0.905 0.243  -0.975 0.243  -1.044 0.243  -1.114 0.243  -1.184 0.243  -1.254 0.243  -1.324 0.243  -1.393 0.243  -1.463 0.243  -1.533 0.243  -1.603 0.243  -1.672 0.243
3#kai#kai2#yslee6/\@  -0.874 1.465  -0.834 1.407  -0.795 1.348  -0.756 1.289  -0.717 1.231  -0.678 1.172  -0.639 1.113  -0.600 1.055  -0.561 0.996  -0.522 0.937  -0.482 0.879  -0.443 0.820  -0.404 0.761  -0.365 0.703  -0.326 0.644  -0.287 0.585  -0.248 0.527  -0.225 0.460  -0.202 0.393  -0.180 0.326  -0.158 0.260  -0.136 0.193  -0.113 0.126  -0.091 0.059  -0.069 -0.008  -0.046 -0.075  -0.024 -0.142  -0.002 -0.209  0.021 -0.276  0.043 -0.342  0.065 -0.409  0.112 -0.461  0.162 -0.511  0.211 -0.561  0.261 -0.611  0.311 -0.661  0.361 -0.711  0.411 -0.760  0.461 -0.810  0.511 -0.860  0.560 -0.910  0.610 -0.960  0.660 -1.010  0.710 -1.060  0.760 -1.109  0.810 -1.159  0.860 -1.209  0.909 -1.259  0.959 -1.309  1.009 -1.359
